tag,subj,mech,sev,C::stance_frac_l,C::step_time_l,C::step_time_cv_l,C::stance_frac_r,C::step_time_r,C::step_time_cv_r,C::stance_asym,C::step_time_asym,C::speed,G::vgrf_peak_l,G::vgrf_mean_l,G::brake_imp_l,G::prop_imp_l,G::fx_peak_l,G::fx_min_l,G::load_rate_l,G::vgrf_peak_r,G::vgrf_mean_r,G::brake_imp_r,G::prop_imp_r,G::fx_peak_r,G::fx_min_r,G::load_rate_r,G::vgrf_peak_asym,G::vgrf_mean_asym,G::brake_imp_asym,G::prop_imp_asym,G::fx_peak_asym,G::fx_min_asym,G::load_rate_asym
s1PF40L,s1,PF,40,0.5374376039933444,1.3599999999999994,0.009193261385788352,0.6688851913477537,1.3699999999999992,0.01039862912745017,-0.1314475873544093,-0.009999999999999787,0.9566333331738942,1.6040046599679627,0.8740063483948223,-0.1205823278141812,0.16092386681228724,0.2130275229357798,-0.2512596475899228,25.604922091161168,1.0985976408912188,0.8808725521946115,-0.19193198058831687,0.14468496572010758,0.20638998106888015,-0.3109043250327654,36.28236493374184,0.5054070190767439,-0.0068662037997891945,0.07134965277413567,0.016238901092179653,0.00663754186689966,0.059644677442842575,-10.677442842580671
s1PF60L,s1,PF,60,0.5257903494176372,1.3600000000000003,0.006898602738235483,0.6921797004991681,1.37,0.003432557187726908,-0.16638935108153086,-0.009999999999999787,0.9581733331736377,1.6422309596621523,0.8324219991152654,-0.0998846652963427,0.2013321252657595,0.20083296927333624,-0.21499635940002912,28.50560652395575,1.3500247560798018,0.8922081604048346,-0.24195590337847162,0.13108690259210437,0.20272462501820301,-0.6154215814766273,93.02475607980392,0.2922062035823505,-0.05978616128956926,0.1420712380821289,0.07024522267365513,-0.0018916557448667715,0.40042522207659814,-64.51914955584817
s2DF20L,s2,DF,20,0.56738768718802,1.3599999999999999,0.009569341471232088,0.6289517470881864,1.3500000000000005,3.1495040552414255e-16,-0.061564059900166335,0.009999999999999343,0.9981116665003147,1.565487112276103,0.8795034674312567,-0.18755904469200124,0.15627642717343485,0.21325469637396244,-0.35157128294742973,52.917431192661674,1.4798747633610019,0.8870068458648739,-0.14538869414591213,0.19755955217707458,0.22146206494830348,-0.30874035241007713,27.691277122470368,0.08561234891510106,-0.007503378433617147,-0.042170350546089114,-0.04128312500363973,-0.00820736857434104,-0.042830930537352596,25.226154070191306
s2DF40L,s2,DF,40,0.56738768718802,1.38,0.0034242459112488882,0.6206322795341098,1.38,0.0034242459112490404,-0.0532445923460898,0.0,1.022721666496213,1.5689092762487256,0.8894728428324167,-0.19578862102810127,0.1664236166666631,0.20460171836318625,-0.4879656327362749,63.91422746468754,1.4626765690985872,0.9012758985254496,-0.163956096034655,0.1870586649424745,0.21434396388524826,-0.29887578272899373,29.514038153488322,0.10623270715013833,-0.011803055693032971,-0.03183252499344627,-0.02063504827581139,-0.009742245522062015,-0.18908985000728118,34.40018931119922
s2DF60L,s2,DF,60,0.5690515806988353,0.9300000000000006,0.3601698881780998,0.6239600665557404,1.37,0.04497184355860089,-0.05490848585690511,-0.4399999999999995,0.9747183331708802,1.7260812581913498,0.851804745389387,-0.174207666239839,0.175905089780104,0.2225120139799039,-0.502587738459298,123.41502839668237,1.821086355031309,0.9141585911363527,-0.19383777536769647,0.17964757735546436,0.20648900538808793,-0.6420722295034221,73.61933886704688,-0.09500509683995917,-0.062353845746965675,0.01963010912785748,-0.0037424875753603593,0.016023008591815963,0.13948449104412408,49.795689529635496
s2HF20L,s2,HF,20,0.5657237936772047,1.35,0.01801095397780958,0.6372712146422629,1.3400000000000007,0.013933138535252165,-0.07154742096505817,0.009999999999999343,1.0094133331650976,1.467321974661424,0.8615885757972913,-0.1712411887170489,0.1746188500946519,0.21528469491772245,-0.31331731469346147,47.82161060142813,1.4847677297218582,0.8940697957195669,-0.18106001210455416,0.20875168453472684,0.2122134847822921,-0.3507892820736857,45.19207805446434,-0.01744575506043411,-0.032481219922275595,0.009818823387505254,-0.03413283444007495,0.0030712101354303523,0.037471967380224236,2.6295325469637874
s2HF40L,s2,HF,40,0.5806988352745425,1.3449999999999998,0.006176210033305261,0.6206322795341098,1.3399999999999999,0.006093258062077753,-0.03993344425956735,0.004999999999999893,1.0498616664916895,1.4866754041065966,0.8816276285861996,-0.20332847337992865,0.16685251832677667,0.20711955730304354,-0.382807630697539,50.65356050677259,1.5078782583369739,0.888008461418034,-0.179685730308719,0.2099220767074369,0.21649774282801806,-0.39358526285131784,50.202562982380556,-0.021202854230377266,-0.006380832831834438,-0.023642743071209643,-0.04306955838066023,-0.00937818552497452,0.01077763215377886,0.45099752439203655
s2KE20L,s2,KE,20,0.540765391014975,1.38,0.0,0.6356073211314476,1.379999999999999,0.005916641886493338,-0.09484193011647257,8.881784197001252e-16,0.9454849998424193,1.5209552934323576,0.8910337874561727,-0.14806286841415148,0.1656632228047147,0.2206043395951653,-0.44711810106305516,55.58438910732607,1.6196155526430756,0.9120763584393681,-0.19260342998397725,0.16238623527012908,0.21359691277122467,-0.42860346585117226,58.46628804427093,-0.09866025921071797,-0.021042570983195397,0.044540561569825776,0.0032769875345856347,0.007007426823940621,-0.0185146352118829,-2.8818989369448644
s2KF20L,s2,KF,20,0.5790349417637272,1.37,0.014042313971209778,0.6289517470881864,1.3600000000000003,0.00919326138578847,-0.04991680532445919,0.009999999999999787,0.9472816665087864,1.6505460899956312,0.878665467360975,-0.21297404816513307,0.14639173757681354,0.21063492063492062,-0.413448376292413,41.9771370321838,1.296177370030581,0.8728662690129851,-0.11591832360564774,0.20309255530799042,0.23151740206786078,-0.3249759720401922,42.173729430611075,0.35436871996505026,0.005799198347989809,-0.09705572455948533,-0.056700817731176884,-0.020882481432940164,-0.0884724042522208,-0.19659239842727771
s2KF40L,s2,KF,40,0.6120401337792643,1.245,0.046901764674195906,0.6020066889632107,0.8349999999999995,0.5705648940341571,0.010033444816053505,0.4100000000000006,1.1631809043277757,1.911227610310179,0.8970798454802741,-0.27322156170088246,0.19362154860928668,0.2811111111111111,-0.6203232852774136,58.516965195865524,1.6166448230668415,0.8188479272850832,-0.10844131954273833,0.2879941626620005,0.2842085335663317,-0.5889223824086209,44.523081403816285,0.29458278724333753,0.07823191819519093,-0.16478024215814413,-0.09437261405271383,-0.0030974224552205998,-0.03140090286879271,13.993883792049239
s2PF20L,s2,PF,20,0.5590682196339434,1.3400000000000003,0.03840429545046356,0.6672212978369384,1.3500000000000005,0.028939592235270654,-0.10815307820299502,-0.010000000000000231,0.9430433331761593,1.5741663026066695,0.8555045095765117,-0.1505724256880702,0.15032834403669404,0.21245230814038152,-0.2992238240862094,40.55934177952613,1.2104295907965632,0.868566121989441,-0.16566667441385988,0.18459766328818594,0.22395077908839375,-0.3012567351099461,36.85393912916928,0.36373671181010625,-0.013061612412929358,0.015094248725789683,-0.0342693192514919,-0.011498470948012235,0.0020329110237367054,3.7054026503568522
s2PF40L,s2,PF,40,0.5840266222961731,1.4299999999999997,0.0032888687474105344,0.6605657237936772,1.4300000000000015,0.005709766296200921,-0.07653910149750409,-1.7763568394002505e-15,0.9499433331750093,1.5866317169069462,0.851441689620079,-0.1259323148390828,0.22105879248579696,0.19973933304208533,-0.2678083588175331,27.735459443716916,1.2138546672491626,0.8702139814444946,-0.2641298550167411,0.14882567601572422,0.21178971894568224,-0.36574777923401774,43.01106742391237,0.3727770496577836,-0.018772291824415532,0.13819754017765828,0.07223311647007274,-0.012050385903596916,0.09793942041648462,-15.275607980195456
s2PF60L,s2,PF,60,0.5896147403685092,1.129999999999999,0.18057925422170712,0.6750418760469011,1.2200000000000002,0.0997059387473181,-0.08542713567839189,-0.09000000000000119,1.1898154360419775,1.683864860929081,0.7916425911308363,-0.17673381868355528,0.2562270996068097,0.28306684141546523,-0.619509247123926,118.37585554099567,1.962982379496141,0.868071668688419,-0.2669454132663406,0.30378473295470443,0.4091859618465123,-1.068198631134411,140.4716761322296,-0.27911751856706,-0.07642907755758266,0.0902115945827853,-0.0475576333478947,-0.12611912043104706,0.44868938401048497,-22.095820591233917
s3DF20L,s3,DF,20,0.632279534109817,1.25,0.03175003172444281,0.5773710482529119,1.225,0.04105489809004531,0.05490848585690511,0.02499999999999991,0.9849016665025163,1.593840104849279,0.8900315575996426,-0.1764756135721529,0.14683829134993132,0.2128527741371778,-0.30299694189602444,27.988641328091465,1.5629095674967233,0.8677862424350012,-0.12339376329401222,0.13942821689238089,0.21642493082860054,-0.2768647153050822,29.053007135576568,0.030930537352555687,0.022245315164641344,-0.05308185027814069,0.007410074457550431,-0.0035721566914227454,-0.02613222659094222,-1.0643658074851032
s3DF40L,s3,DF,40,0.5391014975041597,0.5200000000000005,0.30943656103391737,0.6239600665557404,1.3599999999999994,0.01400211446854378,-0.08485856905158073,-0.839999999999999,0.9986349998335609,1.6524828891801369,0.8733642513246181,-0.15032697974369855,0.1542531128032587,0.19963739624290083,-0.2927668559778651,50.032619775740116,1.714140090286879,0.9386517470025726,-0.16432579171399095,0.18173436465705162,0.21564438619484488,-0.39053735255570116,50.812727537499256,-0.06165720110674222,-0.06528749567795444,0.013998811970292402,-0.02748125185379291,-0.01600698995194405,0.09777049657783604,-0.7801077617591403
s3DF60L,s3,DF,60,0.5723793677204659,0.6949999999999998,0.3229315930849857,0.6039933444259568,1.3999999999999986,0.010174198283133687,-0.03161397670549082,-0.7049999999999987,0.9920283331679953,1.7536041939711664,0.8648424081637489,-0.18086313899082182,0.18059638859763705,0.20485073540119408,-0.39726663754186686,70.92733362458286,1.8728556866171542,0.9482143344562027,-0.19163060688072986,0.17319985414445532,0.22068152031454782,-0.3916411824668705,57.74705111402483,-0.11925149264598778,-0.08337192629245382,0.010767467889908039,0.0073965344531817245,-0.01583078491335374,-0.005625455074996344,13.18028251055803
s3HF20L,s3,HF,20,0.5940099833610649,1.29,0.012256890146189883,0.5856905158069884,1.2999999999999998,0.010962895823851296,0.008319467554076532,-0.009999999999999787,0.9988483331668587,1.565865734673074,0.9036027772984829,-0.1888229564438579,0.1568393056356454,0.22147225862822192,-0.3331381971748944,52.57536041939823,1.5625746322994027,0.8941521216423738,-0.15973875759428813,0.18820532873161094,0.22274938109800493,-0.37907383136740935,40.05941459152553,0.003291102373671251,0.009450655656109141,-0.02908419884956978,-0.031366023095965534,-0.0012771224697830097,0.04593563419251495,12.515945827872699
s3HF40L,s3,HF,40,0.6339434276206323,1.275,0.008768894022533268,0.5773710482529119,1.275,0.011622946519549041,0.056572379367720416,0.0,1.033941666494343,1.325179845638561,0.8721367501080712,-0.15817391342216058,0.1855118792922634,0.23194553662443568,-0.27805009465559927,36.95602155235261,1.4325236638998107,0.8853329296149272,-0.17695659056792984,0.1677939630115007,0.22563710499490314,-0.35579874763360997,54.32634338139042,-0.10734381826124961,-0.01319617950685592,0.018782677145769255,0.01771791628076269,0.0063084316295325404,0.0777486529780107,-17.370321829037813
s3HF60L,s3,HF,60,0.5474209650582362,0.4800000000000004,0.313357028833379,0.6555740432612313,1.33,0.006139072032435141,-0.10815307820299502,-0.8499999999999996,0.9663549998389409,1.4548623853211007,0.8242191110031103,-0.12123379051113765,0.1899856819717449,0.22364351245085187,-0.23485656036114752,19.866608417067546,1.719455366244357,0.929286422128949,-0.2572070748798547,0.19058007126838095,0.22130042230959662,-0.3924581331003349,37.807921945537444,-0.26459298092325634,-0.10506731112583867,0.13597328436871708,-0.0005943892966360498,0.0023430901412552496,0.15760157273918737,-17.941313528469898
